ticker,sector,industry,market_cap
EW,Healthcare,Medical Devices,49385951232
EWBC,Financial Services,Banks - Regional,17614243840
EWY,,,
EXC,Utilities,Utilities - Regulated Electric,43590045696
EXE,Energy,Oil & Gas E&P,21943087104
EXEL,Healthcare,Biotechnology,13925331968
EXFY,Technology,Software - Application,217024272
EXP,Basic Materials,Building Materials,5635363840
EXPD,Industrials,Integrated Freight & Logistics,25210382336
EXPE,Consumer Cyclical,Travel Services,35164667904
EXR,Real Estate,REIT - Industrial,30313496576
F,Consumer Cyclical,Auto Manufacturers,54291116032
FANG,Energy,Oil & Gas E&P,59515400192
FAST,Industrials,Industrial Distribution,56514256896
FBIN,Industrials,Building Products & Equipment,4778297856
FCNCA,Financial Services,Banks - Regional,24559034368
FCX,Basic Materials,Copper,98898534400
FDS,Financial Services,Financial Data & Stock Exchanges,10015435776
FDX,Industrials,Integrated Freight & Logistics,73192701952
FDXF,Industrials,Integrated Freight & Logistics,18810875904
FE,Utilities,Utilities - Regulated Electric,26209495040
FERG,Industrials,Industrial Distribution,42046951424
FFIV,Technology,Software - Infrastructure,24015304704
FHN,Financial Services,Banks - Regional,11593326592
FICO,Technology,Software - Application,21271513088
FIG,Technology,Software - Application,13096105984
FIGR,Financial Services,Capital Markets,7558169088
FIS,Technology,Information Technology Services,19632924672
FISV,,,27101491200
FITB,Financial Services,Banks - Regional,49566212096
FIVE,Consumer Cyclical,Specialty Retail,13059367936
FIVN,Technology,Software - Infrastructure,2508102912
FIX,Industrials,Engineering & Construction,55651209216
FLG,Financial Services,Banks - Regional,5352622080
FLR,Industrials,Engineering & Construction,7201955840
FLS,Industrials,Specialty Industrial Machinery,8991958016
FLUT,Consumer Cyclical,Gambling,17438943232
FMC,Basic Materials,Agricultural Inputs,1437604096
FN,Technology,Electronic Components,13462800384
FND,Consumer Cyclical,Home Improvement Retail,5034845696
FNF,Financial Services,Insurance - Specialty,11648956416
FOSL,Consumer Cyclical,Footwear & Accessories,290959232
FOUR,Technology,Software - Infrastructure,3441871616
FOX,Communication Services,Entertainment,25556291584
FPS,Industrials,Electrical Equipment & Parts,9718892544
FR,Real Estate,REIT - Industrial,8347880960
FRCB,Financial Services,Banks - Regional,74487
FRMI,Real Estate,REIT - Specialty,3008723456
FROG,Technology,Software - Application,11635328000
FRPT,Consumer Defensive,Packaged Foods,2992816384
FRSH,Technology,Software - Application,3330653696
FRVO,Utilities,Utilities - Renewable,4461241344
FSLR,Technology,Solar,21932435456
FSLY,Technology,Software - Application,4009581056
FTAI,Industrials,Aerospace & Defense,18043580416
FTCHQ,Consumer Cyclical,Internet Retail,39546
FTI,Energy,Oil & Gas Equipment & Services,29510369280
FTNT,Technology,Software - Infrastructure,126466555904
FTRE,Healthcare,Biotechnology,1771712896
FTV,Technology,Scientific & Technical Instruments,17018660864
FUN,Consumer Cyclical,Leisure,1293278208
FUTU,Financial Services,Capital Markets,15366018048
FVRR,Communication Services,Internet Content & Information,329883872
FWONA,Communication Services,Entertainment,21693804544
FXI,,,
G,Technology,Information Technology Services,6100488704
GAP,Consumer Cyclical,Apparel Retail,7183474688
GD,Industrials,Aerospace & Defense,96927113216
GDDY,Technology,Software - Infrastructure,13168828416
GDRX,Healthcare,Health Information Services,1204243200
GDS,Technology,Information Technology Services,6091479552
GE,Industrials,Aerospace & Defense,319237226496
GEHC,Healthcare,Medical Devices,28921468928
GEMI,Financial Services,Capital Markets,578897088
GEN,Technology,Software - Infrastructure,18792638464
GEV,Industrials,Specialty Industrial Machinery,235055366144
GFS,Technology,Semiconductors,23421296640
GH,Healthcare,Diagnostics & Research,23790968832
GHM,Industrials,Specialty Industrial Machinery,972882688
GIL,Consumer Cyclical,Apparel Manufacturing,8562344960
GILD,Healthcare,Drug Manufacturers - General,180413480960
GIS,Consumer Defensive,Packaged Foods,19473879040
GL,Financial Services,Insurance - Life,13301102592
GLBE,Consumer Cyclical,Internet Retail,6214793728
GLD,,,
GLIBA,Communication Services,Telecom Services,1033439488
GLIBK,Communication Services,Telecom Services,1026356352
GLOB,Technology,Information Technology Services,1755249024
GLPI,Real Estate,REIT - Specialty,12167236608
GLUE,Healthcare,Biotechnology,1122724352
GLW,Technology,Electronic Components,123385274368
GM,Consumer Cyclical,Auto Manufacturers,77479837696
GME,Consumer Cyclical,Specialty Retail,10734670848
GMED,Healthcare,Medical Devices,10050176000
GNRC,Industrials,Specialty Industrial Machinery,10326703104
GNW,Financial Services,Insurance - Life,3746393088
GO,Consumer Defensive,Grocery Stores,1148389376
GOOG,Communication Services,Internet Content & Information,4153596444672
GPC,Consumer Cyclical,Auto Parts,18013444096
GPI,Consumer Cyclical,Auto & Truck Dealerships,3350025984
GPK,Consumer Cyclical,Packaging & Containers,2855610624
GPN,Industrials,Specialty Business Services,23672760320
GPOR,Energy,Oil & Gas E&P,3142246144
GPRE,Basic Materials,Chemicals,1028298496
GPRO,Technology,Consumer Electronics,266199712
GRAB,Technology,Software - Application,11967057920
GRMN,Technology,Scientific & Technical Instruments,53722935296
GRPN,Communication Services,Internet Content & Information,760034432
GS,Financial Services,Capital Markets,279351296000
GT,Consumer Cyclical,Auto Parts,1495634048
GTLB,Technology,Software - Infrastructure,8269103104
GTM,Technology,Software - Application,1238673280
GTX,Consumer Cyclical,Auto Parts,4779825664
GWRE,Technology,Software - Application,12486374400
GWW,Industrials,Industrial Distribution,59878961152
GXO,Industrials,Integrated Freight & Logistics,5265168896
H,Consumer Cyclical,Lodging,15200386048
HAE,Healthcare,Medical Devices,4786517504
HAIN,Consumer Defensive,Packaged Foods,52897564
HAL,Energy,Oil & Gas Equipment & Services,29938540544
HALO,Healthcare,Biotechnology,12101156864
HAS,Consumer Cyclical,Leisure,12794142720
HBAN,Financial Services,Banks - Regional,33781334016
HCA,Healthcare,Medical Care Facilities,91647254528
HCC,Basic Materials,Coking Coal,4785981440
HCSG,Healthcare,Medical Care Facilities,1500986240
HD,Consumer Cyclical,Home Improvement Retail,306490245120
HDB,Financial Services,Banks - Regional,116453212160
HEI,Industrials,Aerospace & Defense,41440866304
HELE,Consumer Defensive,Household & Personal Products,631680704
HES,,,
HHH,Real Estate,Real Estate - Development,3733161984
HIG,Financial Services,Insurance - Diversified,36789837824
HII,Industrials,Aerospace & Defense,11046685696
HIMS,Healthcare,Drug Manufacturers - Specialty & Generic,6574771712
HIMX,Technology,Semiconductors,2309399040
HLT,Consumer Cyclical,Lodging,69286232064
HNGE,Healthcare,Health Information Services,7647006208
HOG,Consumer Cyclical,Recreational Vehicles,2879165952
HON,Industrials,Conglomerates,63498932224
HOOD,Financial Services,Capital Markets,99609329664
HP,Energy,Oil & Gas Drilling,4323358720
HPE,Technology,Communication Equipment,74623434752
HPQ,Technology,Computer Hardware,30800668672
HQY,Healthcare,Health Information Services,8012216832
HR,Real Estate,REIT - Healthcare Facilities,6492328448
HRB,Consumer Cyclical,Personal Services,5613530112
HRI,Industrials,Rental & Leasing Services,4670372864
HRL,Consumer Defensive,Packaged Foods,11444544512
HSIC,Healthcare,Medical Distribution,9767175168
HSY,Consumer Defensive,Confectioners,34195539968
HTHT,Consumer Cyclical,Lodging,13295792128
HTLD,Industrials,Trucking,959310976
HTZ,Industrials,Rental & Leasing Services,703991488
HUBB,Industrials,Electrical Equipment & Parts,23153741824
HUBS,Technology,Software - Application,12714235904
HUM,Healthcare,Healthcare Plans,47461138432
HUN,Basic Materials,Chemicals,1617867904
HUT,Financial Services,Capital Markets,10680433664
HWM,Industrials,Aerospace & Defense,89528844288
HXL,Industrials,Aerospace & Defense,6883624960
HZNP,,,
IART,Healthcare,Medical Devices,1234249600
IBB,,,
IBIT,,,
IBKR,Financial Services,Capital Markets,150745071616
IBM,Technology,Information Technology Services,236635897856
IBN,Financial Services,Banks - Regional,101923340288
IBP,Consumer Cyclical,Residential Construction,5403413504
ICE,Financial Services,Financial Data & Stock Exchanges,87571931136
ICLR,Healthcare,Diagnostics & Research,13188740096
IDXX,Healthcare,Diagnostics & Research,40242176000
IEX,Industrials,Specialty Industrial Machinery,16352915456
IFF,Basic Materials,Specialty Chemicals,21506590720
IHRT,Communication Services,Broadcasting,411739200
ILMN,Healthcare,Diagnostics & Research,33582368768
IMVT,Healthcare,Biotechnology,7532976640
INCY,Healthcare,Biotechnology,24551763968
INDA,,,
