slug,name,manager,style_name,period,n_positions,hhi,top1_w,top10_w,turnover,new_frac,sold_frac,book_growth,crowding,excess_12,excess_36,vol_12,mdd_12,alpha36_t,p_persist,p_logistic,p_xgboost,rank_xgboost,rank_logistic,rank_persist
third-point,Third Point,Daniel Loeb,Activist,2026-03-31,3.4965075614664802,0.08735714249743466,0.19399108052726208,0.7779348196867849,0.5921019776149565,0.30303030303030304,0.4772727272727273,-1.2506807282161032,15.967594231130949,-0.18352823676103136,-0.33698065950785505,0.12953313013097695,-0.06681011061942854,-0.7733719468569281,0.7761194029850746,0.2785163428648655,0.4805963337421417,41,66,16
tiger-global,Tiger Global Management,Chase Coleman,Long/short equity,2026-03-31,3.9889840465642745,0.06238461398431048,0.13381967960323088,0.6949210997809674,0.22983093303325353,0.12962962962962962,0.12962962962962962,-0.26287846850802354,21.752436568480075,-0.16846461343939628,0.17608189183336886,0.2106906016526541,-0.19467625347375006,-0.28303256733167953,0.746268656716418,0.43776879760882387,0.47440454363822937,42,57,18
giverny,Giverny Capital,François Rochon,Concentrated long / value,2026-03-31,3.9318256327243257,0.041128247404086646,0.06642759628225307,0.5337776597038647,0.08591386604321549,0.09803921568627451,0.08,-0.09307219621141824,11.541890754192474,-0.22429812806151606,-0.4049005434926884,0.12717172201038532,-0.07798608484287417,-2.4126145697397448,0.835820895522388,0.6258538877412609,0.46589332818984985,43,12,12
egerton,Egerton Capital,John Armitage,Long/short equity,2026-03-31,3.1780538303479458,0.06451643173817648,0.13789926116937748,0.6867368567776678,0.39062413554081543,0.2916666666666667,0.2608695652173913,-0.020893454396770293,16.070010548121772,-0.17168835152048834,-0.16374203669705667,0.15970203121185264,-0.09699496013540454,-1.3744642711921213,0.7611940298507462,0.4434241043235573,0.4576594829559326,44,53,17
corvex,Corvex Management,Keith Meister,Activist,2026-03-31,3.2188758248682006,0.09746087153868511,0.18767370284526702,0.8622730955865566,0.12270668700119891,0.12,0.08333333333333333,-0.17852921011391656,8.251566090319509,0.08909272117945538,-0.10489240427613522,0.18818215329586888,-0.09923658362900456,0.19877974584687713,0.2537313432835821,0.46878260946606815,0.45754897594451904,45,45,51
srs,SRS Investment Management,Karthik Sarma,Long/short equity,2026-03-31,3.367295829986474,0.11675311400886217,0.2685718064094774,0.7665505173203648,0.11863128860783645,0.10344827586206896,0.16129032258064516,-0.0034169676653148587,9.285498399549946,-0.08156185777890052,-0.18712296772738146,0.23260377107938657,-0.16672778438150226,-0.40203604016684646,0.5223880597014925,0.5228702396588859,0.43794116377830505,46,33,33
appaloosa,Appaloosa,David Tepper,Event-driven / credit,2026-03-31,3.4339872044851463,0.06986129023801213,0.1516355840744498,0.742814674866816,0.2919074978385071,0.03225806451612903,0.21052631578947367,-0.14417345730182135,18.601954651290082,0.16425308184816784,0.6983190440390785,0.2595726328728905,-0.14156876496668014,-0.24011533607116967,0.1791044776119403,0.6059236038309698,0.434329092502594,47,13,56
lone-pine,Lone Pine Capital,Stephen Mandel,Long/short equity,2026-03-31,3.58351893845611,0.04263028928200336,0.0741542427691605,0.5157787503923643,0.4304607305299635,0.3055555555555556,0.21875,-0.08165794462918384,9.936064979736171,-0.20457995920357724,0.07271544093462412,0.19392154702402414,-0.1609425892289419,-0.05305774086972035,0.8208955223880597,0.46058425427694527,0.41118696331977844,48,47,13
elliott,Elliott Investment Management,Paul Singer,Activist,2026-03-31,2.9444389791664403,0.19054323482537455,0.2902587571455483,0.953013429990202,0.15156805808048301,0.10526315789473684,0.19047619047619047,0.08822229652044121,4.6726771164383285,0.19513683682544652,0.4156361779673239,0.12734889138743327,-0.020443793813957667,0.6194685082358224,0.14925373134328357,0.6746586006846782,0.4100457727909088,49,7,58
greenhaven-road,Greenhaven Road,Scott Miller,Concentrated long / value,2026-03-31,2.833213344056216,0.11263537507974505,0.1716820102140742,0.9742759742785472,0.18461913503489802,0.23529411764705882,0.13333333333333333,-0.4624675708152712,2.834988004622643,-0.5895052516009642,-0.4886591065982256,0.2674149988672847,-0.3897696825379239,-0.5774911878534618,1.0,0.35489483093233376,0.4059814512729645,50,64,1
